,gender,age,university,degree_level,degree_major,academic_year,cgpa,residential_status,campus_discrimination,sports_engagement,average_sleep,study_satisfaction,academic_workload,academic_pressure,financial_concerns,social_relationships,depression,anxiety,isolation,future_insecurity,stress_relief_activities
0,Male,19,PU,Undergraduate,Data Science,2nd year,3.75,Off-Campus,No,0,6,5,5,5,3,2,4,4,3,3,Online Entertainment
1,Male,20,PU,Undergraduate,Data Science,2nd year,3.25,Off-Campus,No,6,6,5,4,1,4,2,3,4,2,5,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
2,Male,19,PU,Undergraduate,Data Science,4th year,3.75,Off-Campus,Yes,0,8,5,5,3,5,2,5,2,1,5,"Religious Activities, Social Connections, Sleep"
3,Male,18,PU,Undergraduate,Computer Science,3rd year,3.25,Off-Campus,No,0,6,3,4,4,5,1,3,5,5,2,Religious Activities
4,Male,21,UET,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,7,8,5,4,5,2,3,4,2,5,5,"Online Entertainment, Sleep"
5,Male,21,PU,Undergraduate,Data Science,2nd year,2.75,Off-Campus,No,0,6,3,5,5,5,3,1,1,3,2,"Religious Activities, Sports and Fitness, Sleep"
6,Male,20,PU,Undergraduate,Data Science,2nd year,2.25,Off-Campus,No,3,6,5,3,5,4,4,4,5,4,5,"Religious Activities, Sports and Fitness, Outdoor Activities"
7,Male,20,PU,Undergraduate,Data Science,3rd year,3.75,Off-Campus,No,3,8,4,5,3,5,1,5,4,5,4,"Online Entertainment, Sleep"
8,Male,20,UET,Undergraduate,Computer Science,2nd year,3.25,Off-Campus,No,3,6,3,4,3,5,4,5,3,5,2,"Religious Activities, Social Connections, Online Entertainment"
9,Female,20,PU,Undergraduate,Data Science,2nd year,2.75,Off-Campus,No,0,6,5,4,5,1,1,5,5,5,3,"Religious Activities, Social Connections, Online Entertainment"
10,Male,19,PU,Undergraduate,Data Science,3rd year,3.75,Off-Campus,No,0,6,5,4,2,4,3,1,5,4,3,Sleep
11,Male,20,PU,Undergraduate,Computer Science,3rd year,1.75,Off-Campus,Yes,0,6,3,2,3,5,4,4,2,3,5,Sports and Fitness
12,Female,20,PU,Undergraduate,Software Engineering,3rd year,3.25,Off-Campus,No,7,6,1,4,4,1,3,5,2,5,2,Sleep
13,Female,20,PU,Undergraduate,Computer Science,1st year,2.75,Off-Campus,No,0,6,4,3,4,5,5,3,4,1,2,"Religious Activities, Sports and Fitness"
14,Male,19,PU,Undergraduate,Information Technology,4th year,3.25,Off-Campus,No,0,8,5,4,5,3,4,2,2,1,2,"Religious Activities, Sports and Fitness, Sleep"
15,Male,22,PU,Undergraduate,Computer Science,3rd year,3.75,On-Campus,No,0,6,4,4,5,5,3,1,4,2,2,Nothing
16,Male,20,UET,Undergraduate,Data Science,1st year,3.25,Off-Campus,No,0,4,4,4,4,4,2,4,3,3,3,Religious Activities
17,Male,19,PU,Undergraduate,Data Science,4th year,3.75,Off-Campus,No,0,8,4,4,5,4,3,1,3,5,3,Religious Activities
18,Male,21,PU,Undergraduate,Computer Science,1st year,2.25,Off-Campus,No,0,8,2,4,3,5,3,4,3,4,1,Religious Activities
19,Female,21,UET,Undergraduate,Computer Science,2nd year,2.75,Off-Campus,No,3,6,4,3,5,5,5,3,4,2,2,"Religious Activities, Social Connections, Online Entertainment"
